OBJECTID,Park Name,Park ID,Latitude,Longitude,Year Established,Acres,Days Open,Operating Hours,Phone Number,Website,Address,Restroom Available,Community Center Available,Natrure Center Available,ADA Accessible,Concessions Available,Dog Park Available,Baseball Fields Available,Basketball Available,Mountain Biking Available,Boating Available,Camping Available,Disc Golf Course Available,Fishing Available,Golf Course Available,Hiking Available,Historic Site,Horseback Riding Available,Lake Available,Picnic Shelters Available,Number of Shelters Available,Playground Available,School Site,Soccer Fields Available,Spray Park Available,Skate Park Available,Swimming Pool Available,Tennis Courts Available,Walking/Jogging Available,Email,Description,Status,Volleyball Available,Football/Multi-Purpose Available,Canoe Launch Available,Community Garden Available,Common Name,Park Classification,City,State,Zip Code,GlobalID
142262,Bicentennial Capitol Mall State Park,PARK_193,36.17159,-86.787961,0,51.4,Daily,Dawn - Dusk,(615) 741-5280,http://www.tn.gov/environment/parks/Bicentennial/,600 James Robertson Parkway,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,No,No,No,Yes,No,No,No,Yes,TNStateParks@tn.gov,"The Bicentennial Capitol Mall State Park is located in the shadow of the State Capitol in downtown Nashville. The 19-acre park is designed to complement the Tennessee Capitol Building, give visitors a taste of Tennessee's history and natural wonders, and to serve as a lasting monument to Tennessee's Bicentennial celebration.",PARK,No,No,No,No,Bicentennial Capital Mall State Park,,Nashville,TN,37208,9a647f12-7be0-4c05-b45b-fa6f8c5dfff8
142263,Lock One Park,PARK_167,36.19940514,-86.78748744,1969,3.42,Daily,Dawn to Dusk,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,1530 Lock Rd,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,0,No,No,No,No,No,No,No,No,metroparks@nashville.gov,"Lock One Park has historic relics throughout the site; Heaton's Station stood here, one of the original lock buildings, a ferry, and buffalo ford. There is a view of the Cumberland River as well as the city of Nashville. ",PARK,No,No,No,No,Lock One Park,Neighborhood,Nashville,TN,37207,a3a70279-e164-400f-8a44-2eac1b771d4e
142264,E. S. Rose Park,PARK_72,36.1435009,-86.78344675,1960,25.08,"Daily, Center: Monday-Friday",Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Athletics/E.S.-Rose-Complex.aspx,1000 Edgehill Ave,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,2,Yes,No,Yes,No,No,Yes,No,No,metroparks@nashville.gov,"Rose Park is located on the historic Edgehill Civil War battleground and provides many recreational facilities; baseball and softball fields, soccer fields, basketball court, a walking track, and a NCAA Division I training facility used by Belmont University.   ",PARK,No,Yes,No,No,Rose Park,Community,Nashville,TN,37203,a98c6b5b-2c7d-4cfe-bf42-543d42c890f2
142265,Church Street Park,PARK_23,36.16269203,-86.78181225,2001,0.28,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,600 Church St,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,metroparks@nashville.gov,"A nice park to walk through to unwind and relax, especially for inner-city metro workers on their break. ",PARK,No,No,No,No,Church Street Park,Pocket,Nashville,TN,37219,02ba881b-aefe-461b-bc9f-9bb38e544681
142266,Reservoir Park,PARK_33,36.13750191,-86.78086504,1914,15.9,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,824 Argyle Ave,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,4,Yes,No,No,No,No,No,Yes,No,metroparks@nashville.gov,Reservoir Park is where Nashville's reservoir is located and is also historically significant. It is a big park with many recreational facilities. ,PARK,No,No,No,No,Reservoir Park,Neighborhood,Nashville,TN,37203,1260cf18-9b8f-4e25-980e-ae6fe830cdfc
142267,Dallas H. Neil Park,PARK_69,36.13437966,-86.77809293,1981,1.34,Daily,Dawn to Dusk,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,1910 8th Ave South,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,metroparks@nashville.gov,"Very small, grassy park with trees. ",PARK,No,No,No,No,Dallas Neil Park,Pocket,Nashville,TN,37203,acee2a56-4311-4fa2-ac60-1bc67ab76f09
142268,Public Square Park,PARK_85,36.16684566,-86.7780877,2006,6.01,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,10 Public Square,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,metroparks@nashville.gov,Park located at Nashville City Hall. ,PARK,No,No,No,No,Public Square Park,Signature,Nashville,TN,37201,0c2bc239-dbea-48bd-8dfe-0763822fae4b
142269,Walk of Fame Park,PARK_170,36.15920672,-86.77681609,2005,2.67,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,121 4th Ave S,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,metroparks@nashville.gov,"The Music City Walk of Fame Park is located across the street from The Country Music Hall of Fame. It is a pleasant park with a 'Walk of Fame' dedicated to Nashville favorites, and it is also a great place for hosting outdoor events and festivals. ",PARK,No,No,No,No,Walk of Fame Park,Signature,Nashville,TN,37201,c3baf28f-de2f-45c1-8afe-55175150c45f
142270,Commerce Center Park,PARK_165,36.16222446,-86.77610708,2000,0.31,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,120 3rd Ave N,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,metroparks@nashville.gov,"A nice park to walk through to unwind and relax, especially for inner-city metro workers on their break. There is a sculpture and sign that explains the history of the area and spotlights the disarmed cannonballs found when excavating for Commerce Center. ",PARK,No,No,No,No,Commerce Center Park,Pocket,Nashville,TN,37201,fe0cfae2-d505-405a-8dca-05bed9d43f9e
142271,Riverfront Park,PARK_164,36.1642387,-86.77530476,1930,18.7,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Historic-Sites/Fort-Nashborough.aspx,170 1st Ave N,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,0,No,No,No,No,No,No,No,Yes,metroparks@nashville.gov,"Riverfront Park runs along 1st Avenue Downtown and hosts Ascend Amphitheater, a dog run, art work and the Fort NAshborough replica",PARK,No,No,Yes,No,Riverfront Park ,Signature,Nashville,TN,37201,2bb89b7e-85fe-4883-a4e2-48be2322d3e5
142272,Fort Negley,PARK_31,36.14502545,-86.77420662,1928,57.39,"Daily, Visitors Center: Tuesday-Saturday",Dawn to Dusk,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Historic-Sites/Fort-Negley-Visitors-Center-and-Historical-Park.aspx,1100 Fort Negley Blvd,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,0,No,No,No,No,No,No,No,Yes,metroparks@nashville.gov,"Original remains of Fort Negley stand at this location, reminding  of the Union Army's successful capture of  Nashville, TN, in 1862 The city was  amajor supply depot and staging area in the western theater.",PARK,No,No,No,No,Fort Negley Park,Community,Nashville,TN,37203,be22d913-3f9e-4962-94ec-b20efa5235d8
142273,Parkwood Park,PARK_80,36.23508738,-86.7714616,1973,10.46,"Daily, Center: Monday-Friday",Dawn to 11 pm,(615) 862-8495,http://nashville.gov/Parks-and-Recreation/Parks.aspx,3220 Vailview Dr,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,0,Yes,No,No,No,No,No,Yes,Yes,metroparks@nashville.gov,"Located next to the Parkwood Recreation Center, there are many recreational opportunities. ",PARK,No,No,No,No,Parkwood Park,Neighborhood,Nashville,TN,37207,b9529e87-fed8-4763-9bbf-d794172be62e
142274,Willow Creek Park,PARK_76,36.25341113,-86.77143074,2003,12.13,Daily,Dawn to Dusk,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,1821 Westchester Dr,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,Yes,No,No,No,No,No,No,No,metroparks@nashville.gov,"A small, grassy area with a playground.",PARK,No,No,No,No,Willow Creek Park,Neighborhood,Nashville,TN,37207,39e18e0a-a96f-4eaf-a81b-e32e5bd1c285
142275,Cumberland Park,PARK_175,36.16248673,-86.7705783,2012,12.94,Daily,Dawn to 11 pm,(615) 862-8508,http://nashville.gov/Parks-and-Recreation/Parks/Cumberland-Park.aspx,592 South 1st Street,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,Yes,No,No,Yes,No,No,No,No,metroparks@nashville.gov,"Cumberland Park is a play space for children and families and a location for events. There is a stone climbing wall, spray park, bouncing pad, a maze, see-saws, and an outdoor amphitheatre for events. ",PARK,No,No,No,No,Cumberland Park,Signature,Nashville,TN,37213,a6bb764d-ca5d-463d-a3c2-551823f18440
142276,McFerrin Park,PARK_11,36.18177133,-86.76701817,1920,11.13,"Daily, Center: Monday-Friday",Dawn to 11 pm,(615) 862-8458,http://nashville.gov/Parks-and-Recreation/Parks.aspx,310 Grace Street,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,0,Yes,No,No,No,No,No,Yes,Yes,metroparks@nashville.gov,"McFerrin Park is located next to the Community Center with tennis courts, basketball courts, baseball field, a playground, swings, and grassy areas. ",PARK,No,No,No,No,McFerrin Park,Neighborhood,Nashville,TN,37207,487d10d7-d8e6-49f5-b9ae-8af3df2feb98
142277,Dudley Park,PARK_57,36.14385103,-86.76533619,1913,6.44,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,305 Chestnut St,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,1,Yes,No,No,No,No,No,No,Yes,metroparks@nashville.gov,"I small park with a swing set, grassy field, and a looped path. ",PARK,No,Yes,No,No,Dudley Park,Neighborhood,Nashville,TN,37210,1dba492a-360b-4232-91b8-d6f38193b87f
142278,Fredrick Douglass Park,PARK_56,36.1779317,-86.7622964,1963,31.94,Daily,Dawn to Dusk,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,210 N 7th St,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,Yes,No,No,No,No,No,No,No,metroparks@nashville.gov,Douglas Park has a baseball field as well as plenty of grassy fields.,PARK,No,Yes,No,No,Frederick Douglass Park,Community,Nashville,TN,37206,3dcf6db5-69d2-4cc8-9fbb-4afd44eb57ad
142279,East Park,PARK_15,36.17287486,-86.76041451,1916,10.65,"Daily, Center: Monday-Saturday",Dawn to 11 pm,(615) 862-8448,http://nashville.gov/Parks-and-Recreation/Community-Centers-and-Recreation/Neighborhood-Recreation-Centers.aspx,700 Woodland St,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,0,Yes,No,No,No,No,Yes,No,No,metroparks@nashville.gov,"East Park has a great community center, playground, swings, and baseball diamonds. It is nestled in historic east Nashville with Victorian-style homes lacing the park boundaries. There are many events that take place within the park.",PARK,No,No,No,No,East Park,Neighborhood,Nashville,TN,37206,a970ed86-609b-4537-b21e-514bfae2df2d
142280,Cleveland Park,PARK_53,36.18829756,-86.75971298,1963,18.45,"Daily, Center: Monday-Friday",Dawn to 11 pm,(615) 862-8444,http://nashville.gov/Parks-and-Recreation/Parks.aspx,925 N 6th St,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,1,Yes,No,No,No,No,Yes,Yes,Yes,metroparks@nashville.gov,"Cleveland Park is a wonderful neighborhood park, with a picnic area, walking paths, a playground, and sporting areas like tennis courts, basketball courts, a volleyball court, baseball fields, and a pool that is open seasonally. ",PARK,No,No,No,No,Cleveland Park,Neighborhood,Nashville,TN,37207,f93bf08f-9a68-40b0-996a-98e434f31be3
142281,Tom Joy Park,PARK_65,36.20366589,-86.75968423,1991,6.81,Daily,Dawn to Dusk,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,1901 Lischey Ave,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,Yes,No,No,No,No,No,No,Yes,metroparks@nashville.gov,"Small park with playground and big, grassy field. ",PARK,No,No,No,No,Tom Joy Park,Neighborhood,Nashville,TN,37207,34064a5c-7818-401b-b66d-8d9779071303
142282,Mildred Shute Minipark,PARK_29,36.15160033,-86.75897794,1983,0.4,Daily,Dawn to Dusk,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,73 Maury Stx,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,Yes,No,No,No,No,No,No,No,metroparks@nashville.gov,Small community park with a playground. ,PARK,No,No,No,No,Mildred Shute Park,Pocket,Nashville,TN,37210,f6fa3e52-7c3f-48a7-a464-f637f880cbdd
142283,J. C. Napier Park,PARK_168,36.15006609,-86.7565376,1913,2.22,"Daily, Center: Monday-Friday",Dawn to 11 pm,(615) 256-4474,http://nashville.gov/Parks-and-Recreation/Community-Centers-and-Recreation/Neighborhood-Recreation-Centers.aspx,73 Fairfield Ave,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,Yes,No,No,No,No,Yes,No,No,metroparks@nashville.gov,"J.C. Napier Park is located at the Napier Recreation Center which has an indoor pool. There is a playground and a small, grassy field. ",PARK,No,No,No,No,Napier Park,Pocket,Nashville,TN,37210,94fceeef-adf9-4bd2-99de-80d3002d000d
142284,Granbery Park,PARK_46,36.04615377,-86.75473367,1979,6.95,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,5533 Hill Rd,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,Yes,No,No,No,No,No,Yes,Yes,metroparks@nashville.gov,"Granbery Park has playground equipment for the kids and workout equipment for the adults. There is a picnic area, tennis courts, and a baseball field. Check out the beautiful trees! ",PARK,No,No,No,No,Granbery Park,Neighborhood,Brentwood,TN,37027,93bf5ca0-43b3-4a67-a0ea-31af15c6e77c
142285,Oakwood Park,PARK_4,36.21580686,-86.75174128,1983,26.28,Daily,Dawn to Dusk,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,"2701 Oakwood Ave, 2572 Bethwood Drive",No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,0,Yes,No,No,No,No,No,No,Yes,metroparks@nashville.gov,"Small community park with a playground, outdoor basketball courts, amphitheater and trail loop",PARK,No,No,No,No,Oakwood Park,Community,Nashville,TN,37207,ed4351af-d04c-422a-a9e6-e59ada4eab5a
142286,Cedar Hill,PARK_3,36.27176052,-86.74802245,1965,321.46,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,860 West Old Hickory Blvd,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,7,Yes,No,No,No,No,No,Yes,Yes,metroparks@nashville.gov,"Cedar Hill Park offers peaceful areas to escape the urban noise, as well active areas such as baseball fields, a duck pond, playground, paths, and covered pavilions with picnic tables. There is also an 18 hole disc golf course located within the park. ",PARK,No,No,No,No,Cedar Hill Park,Regional,Nashville,TN,37207,2518d0d1-3168-483f-a1d3-ac9b3d863daf
142287,Shelby Walk Park,PARK_17,36.17056567,-86.74633905,1996,0.56,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,1400 Shelby Ave,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1,No,No,No,No,No,No,No,No,metroparks@nashville.gov,"Small, walk-through park with picnic area. ",PARK,No,No,No,No,Shelby Walk ,Pocket,Nashville,TN,37206,85dff36a-115e-4a08-9fd5-965cb3474709
142288,Turner School Park,PARK_81,36.1081866,-86.74540945,2006,0.743,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,507 Tanksley Ave,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,Yes,No,No,No,No,No,No,No,metroparks@nashville.gov,"Turner School Park is great for a small park; there is a jungle gym, kickball field, picnic areas with grills, and a walking path. ",PARK,No,No,No,No,Turner School Playground,Pocket,Nashville,TN,37211,a7fcd835-0d3a-4a97-bd36-37a9b1ebf3ec
142289,William Coleman Park,PARK_54,36.11188437,-86.74425093,1939,8.77,"Daily, Center: Monday-Saturday",Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,384 Thompson Ln,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,0,Yes,No,No,No,No,Yes,No,Yes,metroparks@nashville.gov,"Park located next to the Coleman Recreation Center. There is a playground and big, grassy fields with walking path. ",PARK,No,Yes,No,No,Coleman Park,Neighborhood,Nashville,TN,37211,8835fa91-fb45-472e-9031-c88198385be3
142290,Bass Park,PARK_14,36.1751608,-86.74181843,1921,0.18,Daily,Dawn to Dusk,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,1604 Holly St,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,metroparks@nashville.gov,"Bass Park is a small, grassy lot. ",PARK,No,No,No,No,Bass Park,Pocket,Nashville,TN,37206,dc8d91f5-fe3a-47b6-86dc-cbbc1d14c196
142291,Grassmere / Nashville Zoo,PARK_40,36.08774754,-86.7400197,1997,196.59,Daily,Dawn to 11 pm,(615) 833-1534,http://nashville.gov/Parks-and-Recreation/Parks.aspx,3777 Nolensville Pike,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,0,No,No,No,No,No,No,No,No,metroparks@nashville.gov,"The Nashville Zoo provides education programs, annual saffari, historic homes, and jungle gyms. ",PARK,No,No,No,No,Grassmere Park,Specialty,Nashville,TN,37211,34a4a623-fb94-4d4d-8044-266fb4157787
142292,William Whitfield Park,PARK_42,36.06692103,-86.73968321,1978,13.67,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,5150 Edmondson Pike,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,0,Yes,No,No,No,No,No,No,No,metroparks@nashville.gov,Park with baseball fields and a playground. ,PARK,No,Yes,No,No,Whitfield Park,Neighborhood,Nashville,TN,37211,21c979dc-f26e-4a5c-a53f-2dbc2afc8252
142293,Eastland Park,PARK_58,36.19270878,-86.73946537,1953,2.44,Daily,Dawn to Dusk,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,1501 Douglas Ave,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,1,Yes,No,No,No,No,No,No,Yes,metroparks@nashville.gov,"Eastland Park is a wonderful neighborhood park oriented to families; playground, a grassy field, and picnic area. ",PARK,No,No,No,No,Eastland Park,Pocket,Nashville,TN,37206,6623cd88-3b4f-4092-92fb-4e98d731e1ef
142294,Lockeland Springs Park,PARK_90,36.17615726,-86.73716997,2013,2.23,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,1810 Woodland St,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,0,No,No,No,No,No,No,No,No,metroparks@nashville.gov,Lockland Springs Park is a forested property with historical significance.,PARK,No,No,No,No,Lockeland Springs Park,Pocket,Nashville,TN,37206,4d0086f8-1e31-4f0b-8af9-9809fc87360a
142295,Shelby Park,PARK_21,36.17055095,-86.73294865,1912,343.31,"Daily, Center: Monday-Friday",Dawn to 11 pm,(615) 862-8539,http://nashville.gov/Parks-and-Recreation/Parks/Shelby-Park.aspx,South 20th St at Shelby Ave,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,9,Yes,No,No,No,No,No,Yes,Yes,metroparks@nashville.gov,"Shelby Park is a large, multi-use park along the Cumberland River. It features Sevier Lake, boating, a fenced dog park, an event field, athletic fields and courts, golf courses, and free educational programs. ",PARK,No,No,No,No,Shelby Park,Regional,Nashville,TN,37206,85c1e3e0-bdc9-4d80-ba72-dc12dff56d7d
142296,Wentworth-Caldwell Park,PARK_82,36.07724296,-86.72782806,2007,13.53,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,4927 Edmondson Pikex,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,No,No,No,No,No,No,No,No,metroparks@nashville.gov,"Huge, open grassy field. Perfect for soccer. ",PARK,No,No,No,No,Caldwell Park,Neighborhood,Nashville,TN,37211,86cbaba0-a24a-4968-90dd-5a2c3d9285ff
142297,South Inglewood Park,PARK_8,36.19700203,-86.72761851,1972,19.14,"Daily, Center: Monday-Friday",Dawn to 11 pm,(615) 862-8452,http://nashville.gov/Parks-and-Recreation/Parks.aspx,1624 Moore Street,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,1,Yes,No,No,No,No,No,No,Yes,metroparks@nashville.gov,South Inglewood Park is a great multi-use park with a Community Center. ,PARK,No,Yes,No,No,South Inglewood Park,Neighborhood,Nashville,TN,37216,24aa558a-42a1-4b65-b050-1eec00c5e55e
142298,Isaac Litton School Park,PARK_66,36.22800031,-86.72444991,1995,5.7,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,4500 Gallatin Pike,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,1,Yes,No,No,No,No,No,Yes,No,metroparks@nashville.gov,"Small, school park with volleyball court, tennis courts, playground and picnic area.",PARK,Yes,Yes,No,No,Litton Park,Neighborhood,Nashville,TN,37216,2e1bfb58-2f07-486d-92ec-99ffcc0510be
142299,Paragon Mills Park,PARK_38,36.09511071,-86.71480206,1973,35.68,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,465 Benita Dr,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,0,Yes,No,No,No,No,No,No,No,metroparks@nashville.gov,"Paragon Mills Park has baseball fields, basketball courts, a playground, and grassy areas. ",PARK,No,No,No,No,Paragon Mills Park,Community,Nashville,TN,37211,d8e7aa86-da48-4ca6-a18f-bbb63d21db55
142300,Providence Park,PARK_83,36.09214556,-86.70762543,2003,4.19,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,4170 Providence Park Ln,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,Yes,No,No,No,No,No,No,Yes,metroparks@nashville.gov,"Small, community park with playground and walkways connecting the neighborhood. ",PARK,No,No,No,No,Providence Park,Neighborhood,Nashville,TN,37211,ec4db988-dc3a-4244-bb4c-51c36db9050a
142301,William A. Pitts Park,PARK_45,36.05722666,-86.70645363,1982,26.94,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,299 Tusculum Rd,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,1,Yes,No,No,No,No,No,No,No,metroparks@nashville.gov,"Forested park with a baseball field, playground and basketball court. ",PARK,No,No,No,No,Pitts Park,Community,Antioch,TN,37013,0c35fa28-b9c3-48d6-b683-a38caac832a4
142302,Shelby Bottoms Park,PARK_73,36.18290663,-86.70549924,1997,950.18,"Daily, Center: Tuesday -Saturday",Dawn to 11 pm,(615) 862-8539,http://nashville.gov/Parks-and-Recreation/Parks/Shelby-Park.aspx,1900 Davidson Street,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,0,Yes,No,No,No,No,No,No,Yes,metroparks@nashville.gov,"The 960-acre Shelby Bottoms Greenway and Nature Park is located in East Nashville adjacent to Shelby Park and is one of five Natural Area Parks within Metro Parks. With approximately three miles of Cumberland River frontage, this area features bottomland hardwood forests, open fields, wetlands, and streams, providing excellent habitat for birds, amphibians, deer and more.",PARK,No,No,No,No,Shelby Bottoms,Regional,Nashville,TN,37206,7f8ad70a-63e9-4220-9da5-94248421683c
142303,Lock Two Park,PARK_163,36.24414594,-86.70246185,1956,5.73,Daily,Dawn to Dusk,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,Lock 2 Rd,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,0,Yes,No,No,No,No,No,No,No,metroparks@nashville.gov,"Lock Two Park is a charming and lovely family park. It is nestled in a bend of the Cumberland River, and still standing is one of Nashville's original lockkeeper residences. There is a boat ramp and a boat-themed playground. ",PARK,No,No,No,No,Lock Two Park,Neighborhood,Nashville,TN,37214,1b356300-ff11-474a-85f2-dda343bf7709
142304,Madison Park,PARK_67,36.26582464,-86.70099238,1988,30.74,"Daily, Center: Monday-Saturday",Dawn to 11 pm,(615) 862-8459,http://nashville.gov/Parks-and-Recreation/Parks.aspx,510 Cumberland Ave,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,2,Yes,No,No,No,No,No,Yes,Yes,metroparks@nashville.gov,"Madison Park is located next to the Madison Community Center, with pavilion, playgrounds, multi-recreational fields and courts. ",PARK,Yes,No,No,No,Madison Park,Community,Madison,TN,37115,853445ff-d858-4cc1-8bdf-4d2d9559cac1
142305,Seven Oaks Park,PARK_37,36.10829924,-86.69954475,1963,76.01,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,3474 McGavock Pike,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,2,Yes,No,No,No,No,No,Yes,No,metroparks@nashville.gov,"Seven Oaks Park is a huge recreational facility with lots of grassy fields, athletic fields, a disc golf course, picnic areas, and a playground. ",PARK,No,No,No,No,Seven Oaks Park,Community,Nashville,TN,37217,74e3993d-3850-4703-bef6-81fd607826d4
142306,Two Rivers Park,PARK_10,36.18991124,-86.68238556,1966,374.3,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks/Two-Rivers-Park.aspx,3150 McGavock Pike,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,5,Yes,No,No,Yes,Yes,No,Yes,Yes,metroparks@nashville.gov,"Two Rivers Park is a huge park featuring many activities; Wave Country water park, golf course, disc golf course, Greenhouse, picnicking and playgrounds, as well as historical attributes such as the Two Rivers Mansion. ",PARK,No,No,No,No,Two Rivers Park,Regional,Nashville,TN,37214,d5b615fa-1886-43dc-b734-4a85d1b8a0e0
142307,Ezell Road Park,PARK_60,36.08807813,-86.67803129,1978,79.94,Daily,Dawn to 11 pm,(615) 862-8400,http://nashville.gov/Parks-and-Recreation/Parks.aspx,5135 Harding Pl,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,0,No,No,Yes,No,No,No,No,Yes,metroparks@nashville.gov,"Ezell Road Park is adjacent to the Mill Creek Greenway and has a ton of area, perfect for soccer. ",PARK,No,Yes,No,No,Ezell Park,Specialty,Nashville,TN,37211,6628917f-78e9-4667-8794-0614e21174ee
